epoch,train_bleu,valid_bleu
0,0.0005068608117287376,0.0028336499325576337
1,0.002540116414854952,0.004388732387957997
2,0.004092779700772537,0.00414685265047011
3,0.0029743960148502935,0.0037125506614491877
4,0.004276336556487982,0.005043880725505462
5,0.004025827494022511,0.004002025766863446
6,0.004746796382432773,0.005588522647870508
7,0.005798113727759581,0.0068198869512357645
8,0.005643216630749837,0.005845720076920934
9,0.006104441382198067,0.00472775658105262
10,0.006863326662649849,0.007554732211429815
11,0.007310748226979956,0.008687505172700715
12,0.007500638924869591,0.00674059132904149
13,0.0070100779805518905,0.007986690873760452
14,0.00980686513856825,0.00850829746099834
15,0.01046386322541577,0.009810183787922614
16,0.012497483564695105,0.010302208527570723
17,0.014359071323614239,0.008981696330956645
18,0.014461705183786882,0.010414422600261377
