epoch,train_bleu,valid_bleu
0,1.6719888897357208e-07,1.940663657487731e-07
1,0.0009717538005875665,0.001982839226060559
2,0.002024936275380138,0.004571182638753356
3,0.003325305197138243,0.004235247959585131
4,0.003907001782955332,0.00584406769046192
5,0.0062354658807562005,0.005085157511841833
6,0.004951451203470349,0.003240214912082811
7,0.007241531170062574,0.006522695754747805
8,0.007501421519922071,0.007006122931032247
9,0.007817747547324129,0.006674923743120257
10,0.007880628750621212,0.006705595559090902
11,0.00853104032002943,0.0048913424836766455
12,0.01152729959958642,0.006624423682398463
