epoch,train_bleu,valid_bleu
0,0.0008386070314345786,0.002720239881820212
1,0.0016777227000858098,0.0023877860146474875
2,0.0025128652012230625,0.003467027340549714
3,0.0033041010153998865,0.004559825796188914
4,0.003430190489446225,0.0047992124772364385
5,0.0036728341070444794,0.0047577092512743275
6,0.004304180281334791,0.005487241357462587
7,0.0037902445907181987,0.004751556210889151
8,0.0045845083583262464,0.004924251763407474
9,0.004465484441525719,0.00465379257342098
10,0.0045307005483794785,0.004629749887783884
11,0.0057895683728519335,0.005400515066649818
12,0.005495928035299806,0.004946219132610051
13,0.006889110617620884,0.006431267486308298
14,0.005892707770203425,0.004834752208274842
15,0.006880090150536828,0.007129825580489301
16,0.006854919625715742,0.006337394978220131
17,0.0076179073422048835,0.0063001811335051195
18,0.007231352498203458,0.006606487567945973
19,0.007886752805209275,0.007403047858477802
