epoch,train_bleu,valid_bleu
0,0.00032132230824656664,0.0010131888810825979
1,0.000354866217239796,0.0009623752815979614
2,0.0004932605928286544,6.44532765527684e-08
3,0.00046317269468692943,0.002042659646239094
4,0.0018911478443787667,0.004238656255805795
5,0.00175830811346398,0.0027790266120976477
6,0.0021405714204140646,0.0038799956170509978
7,0.002764873611353576,0.005173907765484769
8,0.002992540464124005,0.004034784139408535
9,0.00347082350196354,0.004664532569477849
10,0.003035998345181242,0.002216230990132023
11,0.0030904014379870086,0.005838616685341147
