epoch,train_bleu,valid_bleu
0,3.737723974715914e-07,2.753656310767649e-07
1,0.0012948168101735301,0.004183724987309115
2,0.0012087902038870886,0.003208820769444398
3,0.0008808902462387431,0.0030453919739052877
4,0.0016721850099612116,0.003424391266876555
5,0.002743336330164847,0.0033183798532988007
6,5.322387306454114e-07,0.0005990976016865757
7,0.0014988934993988422,0.00218978893798181
8,0.0019355448520098177,0.0028854273951799867
9,0.001861242193199055,0.00318008910525552
10,0.0022914773599828154,0.004343519433814586
11,0.003356439968702514,0.005177755364855531
12,0.0039500854450039875,0.0049597408143048265
13,0.003723888001812039,0.0034676111374062043
14,0.0038850697425015417,0.005381140472607153
15,0.004461670603500475,0.005338122357214613
16,0.003661308953253779,0.004901419029679955
17,0.0030977225751145625,0.0042126658269948485
18,0.002830152110535776,0.004519602995208421
19,0.0035974505091330346,0.00500130742941713
20,0.00412141993119288,0.003894952753107768
21,0.005497416873449252,0.005324298939464403
22,0.0054667878272519205,0.007378168700648745
23,0.005787811014287394,0.0059789188295684735
24,0.005815972039189266,0.005339212174841476
25,0.00598840475110907,0.006587751697815953
26,0.0054138694120281885,0.00542008434940844
27,0.0056738609457887045,0.006855505746753328
