epoch,train_bleu,valid_bleu
0,1.5027714480321335e-07,0.0011456350786377227
1,0.0003786598637402606,0.002391888284007971
2,0.0012687152688338962,0.002195830828674594
3,0.002054930536539133,0.0022252428883842556
4,0.0027562811768704664,0.004122397296361613
5,0.003824163179157358,0.00573935984498056
6,0.004743062723335645,0.005368447515292869
7,0.004493376421779625,0.004543320381770641
8,0.004302339636135168,0.0059117006754204615
9,0.005142726774320137,0.005457021244223711
10,0.00704290097412365,0.00670873461583346
11,0.006920967484894876,0.006758277332589497
12,0.008175353441915306,0.00518885315560081
13,0.009287386071819986,0.007249598306442641
14,0.00895310424431164,0.005651237432502512
