epoch,train_bleu,valid_bleu
0,1.4334069139772162e-07,0.0010257843807700694
1,0.0004855746976430339,0.0010286985879508256
2,0.00040692360316549244,0.0010112083323925995
3,0.0005568298230147487,0.0009811931781030475
4,0.0005993663901085484,0.001026439636330173
5,0.00036205821906444167,0.0010850030253757176
6,0.0004521920070785188,0.0010431863145301957
7,0.000504971849254176,0.002102275132443702
8,0.0011152572486060836,0.0027239150818183376
9,0.001123441299270817,0.0021757905294965893
10,0.0011251245050419014,0.002862417515418275
11,0.0016676638699534803,0.0030020554433651645
12,0.00148626491759995,0.0028187577611560794
13,0.0019277820495853248,0.0029902038670529844
14,0.003000509374885796,0.0029564904424870726
15,0.002875281652817599,0.0029122782980621313
16,0.002254657013777123,0.0028674059442804368
17,0.002330403321210032,0.002797958438736577
18,0.002720763534569931,0.00311728834824087
19,0.0023946993108769454,0.0028703747049486864
