epoch,train_bleu,valid_bleu
0,2.8020970812755537e-07,0.0010214935447249143
1,0.0005463695626412165,0.001013981995781749
2,0.0006321641413500315,0.0010722104912477912
3,0.00047887307174027555,0.0009832854836712792
4,0.00043065729523549933,0.0009429167783811922
5,0.0005514915184185665,0.0010036837521047782
6,0.0003979149437266895,0.0010651971027891053
7,0.00034743668068704765,0.0017412300975447278
8,0.00041095460085519453,0.0021377062312324174
9,0.0008054309512321417,0.0027714556814305642
10,0.0010129443965587353,0.002929587927667247
11,0.0014192450824508508,0.0029199668819133236
12,0.0015696555929294853,0.002562301070821432
13,0.001759213768847006,0.003002864457465767
14,0.001936746420186576,0.0029313206349889905
15,0.0030986788723685477,0.0023122952103025217
16,0.002352273661584683,0.002899619968171766
17,0.0025362736915053247,0.004185364916139732
