epoch,train_bleu,valid_bleu
0,0.0004138994745136627,1.3273197874376187e-07
1,0.0011891612783521883,0.0009505994571792409
2,0.0013202423247235286,0.0012893096265286996
3,0.0017202084817223772,0.0031469439083675475
4,0.001800421338976844,0.003098538320800973
5,0.0024433377951598354,0.0037039240816320934
6,0.002453359675802451,0.0020416138691864215
7,0.0024018017065265142,0.003102532689992701
8,0.0027973675854861563,0.005371883022617295
9,0.004229011860250093,0.0035779777056349914
10,0.0035634188095261484,0.004284556093567053
11,0.0034389708608813844,0.0037779337334556315
12,0.0029999976673748562,0.0028528981884667287
13,0.0049767095769609445,0.006138870544014751
14,0.003995588172817217,0.003909841572705535
15,0.004271833583316319,0.0037885529765393374
16,0.005461622577549125,0.006454300715470195
17,0.005198918048507249,0.00441765548920822
