epoch,train_bleu,valid_bleu
0,0.0006261097225284284,0.0011526968901688724
1,0.0007652821148467746,0.0010814223261779049
2,1.822219140735061e-07,0.0009920842526141204
3,0.0005019546205751387,0.001113012136011947
4,0.0006589516457491491,0.0011785918496366012
5,0.0005504143507018417,0.0011999459937623684
6,0.0005972264441006605,0.0010660965121705801
7,0.0005455828430389159,0.0011316378089503926
8,0.0005211495653315573,0.0011987760149960373
9,0.000711620762664061,0.0011476296750864586
10,0.0005767615682884011,0.0020348053528644458
11,0.0005242837707032838,0.0010679582045562146
12,0.0007642144285568113,0.0023560350188470696
13,0.001560812220907463,0.0026013766742926134
14,0.0014185209749060517,0.002917294234349967
