epoch,train_bleu,valid_bleu
0,0.000495496291487036,2.2267944258892888e-11
1,0.000891804883068486,0.00479773326845916
2,0.001841822715875832,0.0044623722507494004
3,0.00314654621342797,0.003871634222481297
4,0.0037459279630216655,0.0037390588836435537
5,0.003689357807467714,0.005593310119551905
6,0.004650288212005607,0.005339666805222644
7,0.004838241229543063,0.006577837557862971
8,0.0050064862343650925,0.00551380785044189
9,0.004785436257488457,0.004955756777940837
10,0.004585458436261387,0.005297872921841006
11,0.005285446315647451,0.0044568982108345425
12,0.004765152421523655,0.006240700330117796
13,0.005634936499969922,0.005324708168356619
14,0.005612623437883429,0.004882357347700152
15,0.006460526476986007,0.006173192687877696
16,0.007214418898063111,0.0065246470800166675
17,0.006462021416711992,0.006825644149395188
18,0.006462835964417262,0.006715108980492854
19,0.006835492238402033,0.005874919994418359
