epoch,train_bleu,valid_bleu
0,0.000409373147418695,2.1461384870506495e-11
1,0.000725695400385209,0.0008543444659705479
2,0.0010283596915001533,0.0009875153932826575
3,0.0007904458344299319,0.0019653167919233007
4,0.0014042471774580996,0.0017520189540238403
5,0.0015582190249045955,0.0026897137559335903
6,0.00154183203030859,0.0024812571854173258
7,0.0018589188699139635,0.002914103383695177
8,0.001952040412854289,0.0023566288909169382
9,0.002174121680376884,0.0026453244385273786
10,0.0025787404026123696,0.00293959729913381
11,0.003495323556066037,0.004299372651652035
