epoch,train_bleu,valid_bleu
0,0.00045999563350550136,0.0008681103468588346
1,0.001229006118144779,0.0021692683000051004
2,0.0016078324995591536,0.0018109849158309127
3,0.002011960339565713,0.004104388476391147
4,0.0018453741290577663,0.0034957636917750095
5,0.002386896729861836,0.0023453659899466553
6,0.0024652237366512195,0.003263945258264841
7,0.00420611666169961,0.003726024980296498
8,0.0039148951076889765,0.003939857883642056
9,0.004884029748868435,0.005980749870299392
10,0.004671914708724193,0.003778219859553009
11,0.004302315047992746,0.004741302898262516
12,0.005789522006745927,0.003955862647854971
13,0.005248000279148298,0.005067923626425263
