epoch,train_bleu,valid_bleu
0,2.1775555739054894e-11,5.478477970506349e-12
1,4.911035366016416e-15,8.048864759436442e-12
2,4.417182778375957e-08,1.2194494008804082e-11
3,2.8593072354855417e-11,1.847379520990763e-11
4,2.7788644126882802e-11,5.5177960727242484e-08
5,5.137252555024057e-08,4.082165098384289e-08
6,2.7580962110882595e-11,1.7546183718241508e-11
7,7.286428041858722e-08,2.1053148164659386e-11
8,6.907258163776089e-08,1.5859328079706918e-11
9,3.3081780630230715e-11,2.3353622065923156e-11
10,6.915836549257507e-08,3.4166224769356695e-11
11,3.9635485767586756e-11,1.67912067824437e-11
12,8.573997879832035e-08,2.0382917925334635e-11
