epoch,train_bleu,valid_bleu
0,4.686137050448743e-08,6.73612412339626e-12
1,1.0148530946028866e-11,8.341032708190006e-12
2,2.1302462000870788e-11,0.00020708061434865233
3,2.320737266129999e-11,2.1275450967825577e-11
4,0.00013252176858199576,1.6976622804454123e-11
5,4.0963635375513404e-11,4.0177356458613976e-08
6,6.755465379239745e-08,8.165111934399931e-08
7,7.943296439663875e-08,4.5661428496582884e-08
8,0.00016535520475810056,3.3628512297396874e-08
9,3.733629570725309e-11,1.8311946647094392e-07
10,3.9804195938559725e-11,6.802880300368805e-08
11,0.00021399416684515795,1.0088878267102841e-07
12,7.970894117493573e-08,4.6277357230920335e-08
13,6.4497602336503e-08,7.168389189351884e-08
14,3.775310748209454e-11,2.3500331025053727e-07
