epoch,train_loss,valid_loss
0,0.8784844477119085,2.911701567477838
1,0.8849539047705537,2.817295871907622
2,0.8321518490721324,2.7979961653930885
3,0.6600233110809918,2.8669890805181613
4,0.7446839078121299,2.670482968929233
5,0.7119279996158737,2.761774144043496
6,0.6419379983027831,2.7743737891689766
7,0.5563452541475365,2.7923957778392765
8,0.7569600351209892,2.789566209064171
9,0.6274672210334299,2.7273339660542595
10,0.647471821458664,2.7205358840980223
11,0.6835373573006686,2.6759762624110377
12,0.6718450480380413,2.704449751335684
13,0.5630994458402339,2.7172384825174434
14,0.6143706965242055,2.784713566641428
15,0.6937248867232197,2.6960717209941776
16,0.6820508788018106,2.689824514595156
17,0.6373184196634533,2.7531689805371906
18,0.6564171631700335,2.5917504862134058
19,0.7157544271649943,2.7086578112179622
20,0.6188042824232256,2.6457502274257525
21,0.5355470045196774,2.6735306383096114
22,0.6299457155524484,2.7029304283024187
23,0.6466208388739279,2.759028661827053
24,0.5754929641585339,2.6886623033890853
25,0.6224542989593344,2.7103496880505187
26,0.5563609174515604,2.622705873635907
27,0.6159660105756184,2.7423408233446045
28,0.5319305248985917,2.712045469222779
29,0.5220876237169082,2.5907774736986258
