epoch,train_bleu,valid_bleu
0,3.4537994944417287e-07,3.9902308530001606e-11
1,5.512707647934576e-07,0.0038065407928664836
2,0.002640700720236744,0.0024335784487921437
3,0.002051299456327266,0.0027372841509533323
4,0.0022594168980568474,0.0009009463942719665
5,0.0028675891522659193,0.004300289139978519
6,0.0023046672607693426,0.002616046753900894
7,0.001674784622990756,1.2747107409136748e-07
8,0.00127270205002473,3.489363995423218e-11
9,0.0030842133993284025,0.00239568092539557
10,0.0037886271578556206,0.004636131555568529
11,0.0029631840723583257,0.0014794633238054097
12,0.003044963043132184,0.0013856775274011888
13,0.002230887052589825,0.004793544434424186
14,0.004697772805708194,0.003753924050986512
15,0.0033194364228986786,0.00369355047785783
16,0.0026892493847891666,0.0037536733086093992
