epoch,train_bleu,valid_bleu
0,4.034694306855186e-11,7.897329087468325e-12
1,0.00015882885064191538,1.16336464322738e-11
2,3.8122607163355045e-11,2.5513170953556396e-11
3,3.7063243676856457e-11,1.55077368042935e-11
4,3.230025046612226e-11,2.5315921217010236e-11
5,1.1180785867513208e-07,1.2582650941424012e-11
6,5.5836767842904003e-11,0.0007059221145202167
7,4.389131813276014e-11,2.2747885171060068e-11
8,4.5761551179632496e-11,4.025017107960002e-11
9,5.671599885898171e-11,1.4856786063434278e-11
10,9.307706797063613e-11,8.781318014028217e-08
11,6.873998048704383e-11,9.032450914222799e-08
12,6.975265172841111e-11,1.9353291997014046e-11
13,1.3473789593558348e-07,3.4505405440521e-11
14,9.926543992693664e-11,1.4899093257783696e-07
15,1.999657194383617e-07,7.124045302352418e-08
16,1.0069004023384368e-10,2.995622966659435e-11
17,2.1664208097133325e-07,1.4832011935116884e-11
18,2.506108044741932e-07,1.9284566219202133e-07
19,3.037255011719088e-07,5.8512889924801593e-08
20,3.0155116806692905e-07,5.546561353258785e-08
