epoch,train_bleu,valid_bleu
0,0.0006908646493785504,3.6969073249773504e-11
1,0.0012578406901287591,0.0037837535486798545
2,0.0015972363499371011,0.0030523396835913773
3,0.0015739497596623639,0.002907743351010018
4,0.0018602104948216396,0.004855568046806739
5,0.002270191861248687,0.0024865109212165483
6,0.001770358594388126,0.0026932937862139297
7,0.0033058158597146043,0.003553712297967338
8,0.0033635307321887844,0.004250204734200396
9,0.003351982658938681,0.003964186626345254
10,0.0045643736296838095,0.00427830777913262
11,0.00479847213553856,0.004590260232558727
12,0.004659251372683717,0.004891522566877955
