epoch,train_bleu,valid_bleu
0,3.941033661030589e-08,2.0988306092285967e-11
1,2.5081254164930136e-08,5.637869877010112e-12
2,8.85728347539495e-05,1.2214142012992186e-11
3,2.340409912427431e-08,1.4513727995856266e-11
4,3.792706998760515e-08,0.00018807507638736733
5,8.089059526877573e-05,5.927923166063537e-08
6,5.97566717797395e-08,2.019824582119379e-11
7,3.5292940861857524e-08,1.804647166825891e-11
8,6.862760932411861e-08,5.130959554822576e-08
9,5.316987857649669e-08,1.8269847242503442e-11
10,2.2965631284480648e-11,5.5776732249324854e-08
11,8.112921953654169e-08,1.7032986762100255e-11
12,8.046121208554131e-08,1.866495133769749e-11
13,2.3736929375189107e-11,6.51940869051568e-08
