epoch,train_bleu,valid_bleu
0,0.0006150755682147067,0.001019151621352782
1,0.0003814595347931954,0.0010502623048497819
2,0.0005206297640966575,0.00409968044449987
3,0.0008457663348691632,0.0010217425153416341
4,0.0019074152823385382,0.0027448124624019966
5,0.001314133530959288,0.00496842321173419
6,0.0026772398470891433,0.002804037163229026
7,0.001438972774314236,0.00270386882696905
8,0.0017584281653775867,0.002971722597503061
9,0.002096339117307004,0.002951468679185674
10,0.0020759015828771313,0.002686669132427615
11,0.0026349123753738827,0.003135677621956048
12,0.0024716906360751174,0.005599504727644316
