epoch,train_bleu,valid_bleu
0,1.8826463330807027e-07,0.0010529156086893083
1,0.0003680370970554935,0.0010042592217251536
2,0.000574000710407289,0.001951541750547213
3,0.0008650885370846266,0.0009641693004163288
4,0.0011588840145450297,0.002247011617627875
5,0.0009727414111323481,0.0022987216312671554
6,0.001020090988287845,0.0024270348135394595
7,0.0010274812055503803,0.0025322786441189815
8,0.0013211890319513092,0.002683270847008995
9,0.0013878055218299482,0.0026638890176572633
10,0.0013921700041827725,0.0029524284574749342
11,0.0016506343516937208,0.0035910618295258673
