epoch,train_bleu,valid_bleu
0,1.6918126468009968e-07,4.405824190094295e-15
1,0.0006464378242408727,0.00098038858360252
2,2.4190659194692634e-07,0.0010274612790444806
3,0.00041091667213874624,0.0009885622628633365
4,0.0005558179654701197,0.0014966140179907977
5,0.00045065634430585283,0.0010652938237682436
6,0.00038896411144143594,0.00209735798732681
7,0.0009298892798246864,0.002113989920234867
8,0.0005873523873853597,0.002927520409705125
9,0.0011763360744896662,0.002977619581894319
10,0.0010005583441915515,0.0030217164919905913
11,0.001583314919770715,0.002719276171088088
12,0.0010593493483965794,0.002799331738211359
13,0.001514603283925423,0.0028291547609905895
14,0.0013437192256850008,0.0029714335721100463
15,0.0022438149000404643,0.0028992562931560153
16,0.0015974351794823213,0.0028735216304961236
