epoch,train_bleu,valid_bleu
0,0.0005242066653614516,0.0010329034837029381
1,0.0005646380840934541,0.001035046345392087
2,0.0005385423805569819,0.0010298569089880673
3,0.0003415959025885629,0.001077816423322449
4,0.0004989618752187761,0.00101719624224531
5,0.0004786444980817944,0.0009617878231316124
6,0.0005384949050611439,0.0021935397204466594
7,0.00033330132856119636,0.0021951486620148462
8,0.0010205102160192286,0.0023196960308092146
9,0.0008189107081371441,0.002149886485581241
10,0.0008968842740429175,0.0023508293159278065
11,0.001050659609049047,0.002709167185235541
12,0.001232779402155208,0.002630348194513525
13,0.0013515888430954944,0.002946561884005015
14,0.002488145153088692,0.0030483161350022834
15,0.0016614034954621209,0.003034878319000088
16,0.001966829983194988,0.004419811372094617
17,0.0036177147519378537,0.004699803089691303
18,0.0025228935448307925,0.0024378897674283036
19,0.003407389780664662,0.003983223590443978
