epoch,train_bleu,valid_bleu
0,6.659593886441878e-08,1.3147316707150238e-11
1,2.2871835354219525e-11,0.00033921989778504306
2,1.3737021720889398e-07,5.0123232585849985e-15
3,4.3937099426334876e-11,1.8208842548148308e-11
4,3.919674807745615e-11,4.887333293259155e-08
5,5.547211652929405e-11,0.0005965438895365125
6,5.2668197813946e-11,7.196131045054543e-08
7,7.383555935401164e-11,6.912758533748965e-08
8,1.6256261303413137e-07,0.00022808813864741434
9,1.7070250153345913e-07,7.21666739353386e-08
10,1.497798585686458e-07,2.4207032416883363e-11
11,7.21048626328271e-11,0.0006919634293550288
12,1.5635270301834293e-07,3.450314664556752e-07
13,1.4644720952502184e-07,6.917382764604247e-08
