epoch,train_bleu,valid_bleu
0,2.462764293587987e-11,2.449582139570774e-15
1,4.024486253925809e-08,2.983669040986303e-15
2,2.5613788672295888e-11,9.895559546722604e-12
3,2.926265689957781e-11,1.6841439907916178e-11
4,1.7367418352092636e-11,0.0007028319353274211
5,2.669246066209837e-11,1.074272279947171e-11
6,3.3128935178939677e-11,3.0325466498295785e-11
7,9.044179990813006e-08,2.3540512335694115e-11
8,8.25645802436272e-08,6.825193919781257e-08
9,0.0003398034717057886,0.00022100129371214607
10,2.178639217720742e-07,5.253886604294933e-08
11,1.5222692858933427e-07,6.974007241277983e-08
12,0.00030338544871212294,7.337405845622282e-08
13,1.9146944319266844e-07,1.1239327958764842e-07
14,1.6655281354560386e-07,3.461166231894411e-11
15,2.5748117721599905e-07,0.00019519984258783713
16,1.8283170220729735e-07,1.4767826949331006e-07
17,1.6804982655683245e-07,1.8301848522642661e-07
18,2.515269230944276e-07,0.0006456736411298473
19,0.0004938688928959749,0.00025622568255458887
20,0.0005368957214376608,0.00018462488671252585
21,0.00042335899228913035,0.000581312360255437
22,0.000451407979680245,0.0010093902952509938
23,0.0004427960243806922,0.0006376062468236473
24,0.0005277772792738638,1.6403260258260367e-07
25,0.0005503993235890619,1.225512764568551e-07
26,0.0005898876993988969,0.0006231265619836121
27,0.000760497579036004,0.00040500625728809504
28,2.685843280837938e-07,0.00040470213732406293
29,2.9772366491502783e-07,0.0002998546228459005
