epoch,train_bleu,valid_bleu
0,2.780404146453089e-11,2.877298030565437e-15
1,1.0986596580011527e-14,0.00014426185887709926
2,3.6483439269485014e-11,0.00039775381837881284
3,7.527157388857379e-08,1.0017947259484843e-11
4,3.979662131175282e-11,1.8875117944884703e-11
5,7.377569642906668e-08,1.6470258986954205e-11
6,1.0641764522202425e-07,1.5067775980288404e-11
7,1.1154842361154635e-07,3.020193249621015e-11
8,4.187875901317513e-11,0.00013248460194554
9,1.2327422017836904e-07,8.076929840868957e-08
10,0.0003658803071009514,0.00024145381259186623
11,0.0003165167438772551,1.5280690981860484e-07
12,0.0005763501740439813,4.122004332189139e-08
13,6.708276551813944e-11,0.0006716896795743375
