epoch,train_bleu,valid_bleu
0,0.0007817281515863829,7.401813460990179e-11
1,0.0009062985879482119,0.002566990467005144
2,0.0013167267525684234,0.002812454849256338
3,0.0017328483374350891,0.00282274269262945
4,0.0020522813084758278,0.002971628614448598
5,0.001115347921067278,0.0017778042416912376
6,0.0019380173746961114,0.0036026368934250355
7,0.0026769426876722385,0.003272297661038691
8,0.003260910980753193,0.00339823286830482
9,0.0026521066401488723,0.001986060625958503
10,0.0027453410336855636,0.0038198760148919052
11,0.003384532412076367,0.0051033688700998754
12,0.003389414592828938,0.0035923818749913038
