epoch,train_bleu,valid_bleu
0,7.616583017293501e-05,1.672343948437443e-11
1,1.3696683530468174e-11,1.5761251428954537e-11
2,1.4641828082670313e-11,1.1364464867923252e-11
3,1.45563502054599e-11,1.5324361088092272e-11
4,3.115963874394178e-08,1.6570308411604786e-11
5,4.078015661213927e-08,1.3153162775735382e-11
6,4.4061279721855916e-08,1.9940644595398428e-11
7,1.6590700557777517e-11,1.8606108748510796e-11
8,4.678731183196986e-08,4.358393115836668e-08
9,0.0001465994398617336,9.495452241840978e-08
10,4.258837833251415e-08,1.8227339900990595e-11
11,4.8520472578344235e-08,2.2805136577144283e-11
12,0.00017557963115899495,2.897300369101902e-11
13,5.460532266285055e-08,1.748432618713369e-11
14,3.8253060595007106e-08,3.480733000554042e-08
