epoch,train_bleu,valid_bleu
0,0.0005631460736415821,0.0009583748920726315
1,0.0021744493729175967,0.005672092902133336
2,0.0022880568247719162,0.0017323866617170807
3,0.0012312094840853513,0.002470329692487152
4,0.0022947159748320832,0.00451589891333504
5,0.0026906840986959395,0.004083873667822009
6,0.0030800044886179993,0.004257290389018819
7,0.003810950309741214,0.0058360027157099365
8,0.003612313444358219,0.004870561518348102
9,0.004822669323756491,0.005581067386018879
10,0.005131185448748871,0.004657845817604135
11,0.005014985840283803,0.005281523190386743
12,0.004100328230385268,0.0048473601846512945
13,0.005401407671937331,0.004707741648476824
14,0.005435310618922313,0.004495861558635451
15,0.004999292352991941,0.005446028619457737
16,0.007861701691245357,0.0062610989202440855
17,0.007038275668185372,0.007256603540728587
