epoch,train_loss,valid_loss
0,0.6324065280865863,1.20127994577835
1,0.6282635682188906,1.1651084660131554
2,0.6333854074292391,1.200498407739523
3,0.5509233631332028,1.1510597441416017
4,0.5463431624557419,1.122756483463976
5,0.6162301734713047,1.1914273121010197
6,0.5563308293027703,1.1916885366488479
7,0.5358190896197749,1.1462232078823988
8,0.5228550351060817,1.190572805705467
9,0.5055372518082633,1.1417395109520354
10,0.5842126826103992,1.1463380922874373
11,0.6467049432038463,1.1671083542454328
12,0.5206693114694216,1.105077351406146
13,0.4407305644125643,1.1868044037325265
14,0.5426154848673325,1.1492845304810482
15,0.5744161486193129,1.170161205563704
16,0.5389057970382095,1.1161978676214426
17,0.49534308396826704,1.0918669020900857
18,0.42378064967458173,1.1103148405223815
19,0.4989029018711272,1.139009636246826
20,0.5314412321266062,1.1174194093448182
21,0.48072737015547834,1.1627990727756263
22,0.5095334222717547,1.150427938620483
23,0.513595146921844,1.1408438752075485
24,0.46766782921785593,1.1184471264028082
25,0.5608412937967423,1.1487372410578536
26,0.45196516363869055,1.1146617411481567
27,0.49624165036957857,1.119288564950922
28,0.40130379430478313,1.1119529006505366
29,0.4074439312563597,1.144238840459968
